iter	RMSE
0	1165.332322
1	1163.973799
2	1162.629558
3	1161.291161
4	1159.952334
5	1158.597127
6	1157.246206
7	1155.917573
8	1154.59852
9	1153.247491
10	1151.946525
11	1150.60296
12	1149.275744
13	1147.922303
14	1146.596408
15	1145.263904
16	1143.946399
17	1142.610138
18	1141.278524
19	1139.936191
20	1138.62255
21	1137.294999
22	1135.978501
23	1134.699461
24	1133.406752
25	1132.095303
26	1130.814117
27	1129.502575
28	1128.180339
29	1126.886057
30	1125.617659
31	1124.340798
32	1123.053776
33	1121.758459
34	1120.486343
35	1119.20651
36	1117.92335
37	1116.663367
38	1115.382822
39	1114.092907
40	1112.865731
41	1111.607187
42	1110.351425
43	1109.079248
44	1107.831176
45	1106.568456
46	1105.303647
47	1104.050731
48	1102.808576
49	1101.53791
50	1100.273446
51	1099.028659
52	1097.772815
53	1096.528233
54	1095.292602
55	1094.052425
56	1092.806085
57	1091.559147
58	1090.340541
59	1089.110194
60	1087.88895
61	1086.728605
62	1085.507413
63	1084.27001
64	1083.061893
65	1081.852278
66	1080.641849
67	1079.421741
68	1078.210405
69	1076.983947
70	1075.770784
71	1074.566407
72	1073.358788
73	1072.160744
74	1070.938024
75	1069.738098
76	1068.532208
77	1067.326229
78	1066.1552
79	1064.936888
80	1063.763196
81	1062.572236
82	1061.418381
83	1060.235689
84	1059.046864
85	1057.855584
86	1056.662566
87	1055.473524
88	1054.282495
89	1053.089074
90	1051.910213
91	1050.739232
92	1049.54986
93	1048.388901
94	1047.253536
95	1046.090764
96	1044.913079
97	1043.756081
98	1042.621635
99	1041.460285
100	1040.315624
101	1039.15628
102	1038.012925
103	1036.855909
104	1035.701787
105	1034.576495
106	1033.436787
107	1032.310839
108	1031.168129
109	1030.032852
110	1028.892009
111	1027.743722
112	1026.616349
113	1025.493338
114	1024.377479
115	1023.267617
116	1022.124795
117	1021.020484
118	1019.91533
119	1018.815916
120	1017.696689
121	1016.599475
122	1015.482955
123	1014.384066
124	1013.267974
125	1012.157737
126	1011.045612
127	1009.953797
128	1008.860387
129	1007.772475
130	1006.684081
131	1005.572771
132	1004.478741
133	1003.407453
134	1002.308114
135	1001.216236
136	1000.121584
137	999.0749214
138	997.9912041
139	996.9055384
140	995.8195334
141	994.7281996
142	993.6516063
143	992.5764338
144	991.5097084
145	990.4577805
146	989.3835994
147	988.3113955
148	987.2519387
149	986.1979984
150	985.1535507
151	984.091981
152	983.0486137
153	981.9947795
154	980.9491124
155	979.9094602
156	978.8746115
157	977.8235777
158	976.7946331
159	975.7475305
160	974.7059759
161	973.6736856
162	972.6316444
163	971.5955584
164	970.5589264
165	969.5321685
166	968.4885305
167	967.4591716
168	966.4503462
169	965.4516547
170	964.421747
171	963.3988096
172	962.3835524
173	961.3749253
174	960.3489929
175	959.3286722
176	958.3307648
177	957.3071441
178	956.3078271
179	955.3080649
180	954.2979287
181	953.3304943
182	952.3237836
183	951.3176205
184	950.3214752
185	949.3221574
186	948.3214906
187	947.3440487
188	946.3535811
189	945.3833082
190	944.3937534
191	943.4011589
192	942.3993855
193	941.4218168
194	940.4478076
195	939.4590824
196	938.4946049
197	937.5017675
198	936.5519245
199	935.5772411
200	934.6096272
201	933.6290858
202	932.6587867
203	931.6852888
204	930.7345341
205	929.7801642
206	928.8252068
207	927.8541
208	926.8892423
209	925.9400452
210	924.9863842
211	924.0268364
212	923.104296
213	922.1782833
214	921.2368995
215	920.2873457
216	919.3487448
217	918.4030491
218	917.4734661
219	916.5283139
220	915.5955935
221	914.6580983
222	913.7221725
223	912.7847084
224	911.8570502
225	910.9145227
226	909.9884442
227	909.0571693
228	908.1306149
229	907.2024806
230	906.2897467
231	905.3655128
232	904.450661
233	903.525528
234	902.6060912
235	901.6920376
236	900.7928037
237	899.8826021
238	898.9696637
239	898.0447655
240	897.1314469
241	896.2328148
242	895.3328905
243	894.4297858
244	893.537961
245	892.6524262
246	891.7642423
247	890.8733574
248	889.9909853
249	889.0898705
250	888.2218848
251	887.3452726
252	886.4704066
253	885.599329
254	884.715895
255	883.8275372
256	882.947316
257	882.068974
258	881.1883695
259	880.3159239
260	879.438883
261	878.5547623
262	877.6753349
263	876.8033432
264	875.9458408
265	875.0811847
266	874.2221374
267	873.3713128
268	872.5074067
269	871.6542881
270	870.794127
271	869.9341872
272	869.0954067
273	868.2366217
274	867.3961507
275	866.5620044
276	865.7080065
277	864.8611473
278	864.0288012
279	863.1874478
280	862.3429602
281	861.4995755
282	860.6470677
283	859.8032477
284	858.9827748
285	858.1596562
286	857.3321119
287	856.5092163
288	855.6805592
289	854.8564107
290	854.0539986
291	853.2408014
292	852.4095217
293	851.5926986
294	850.7802866
295	849.9761707
296	849.1539284
297	848.3367407
298	847.5135693
299	846.7077196
300	845.8996139
301	845.0942648
302	844.285485
303	843.4901298
304	842.6868937
305	841.8727796
306	841.0540584
307	840.2619647
308	839.4480563
309	838.6593116
310	837.8815012
311	837.0860821
312	836.296879
313	835.508598
314	834.703713
315	833.907177
316	833.1105898
317	832.3195413
318	831.5293128
319	830.7600312
320	829.9843636
321	829.2149549
322	828.4269276
323	827.6547552
324	826.8884671
325	826.1248494
326	825.3656475
327	824.5822718
328	823.8234496
329	823.0682265
330	822.2948721
331	821.5309988
332	820.75283
333	819.9776032
334	819.2088647
335	818.4458889
336	817.6877536
337	816.9226895
338	816.1723017
339	815.4182241
340	814.6531469
341	813.889855
342	813.144071
343	812.4080613
344	811.6668854
345	810.9168049
346	810.1630913
347	809.4135108
348	808.6552566
349	807.9157048
350	807.1600407
351	806.4236342
352	805.6929553
353	804.9730233
354	804.2244779
355	803.507408
356	802.7773892
357	802.0433778
358	801.3103379
359	800.5989949
360	799.8697373
361	799.133682
362	798.4116517
363	797.6778218
364	796.9574828
365	796.2508425
366	795.5399258
367	794.824152
368	794.1059608
369	793.4020409
370	792.701688
371	791.9890943
372	791.2840778
373	790.5923731
374	789.8912849
375	789.1839155
376	788.4691928
377	787.7652501
378	787.0783281
379	786.3764998
380	785.6905053
381	784.9852453
382	784.3007017
383	783.6210066
384	782.9298541
385	782.2349841
386	781.5494904
387	780.8571859
388	780.1619065
389	779.475747
390	778.7885998
391	778.0989089
392	777.4015981
393	776.7147378
394	776.0472732
395	775.3670875
396	774.6883586
397	774.0185484
398	773.3391884
399	772.6607077
400	771.9784065
401	771.314278
402	770.6419569
403	769.9831121
404	769.3221707
405	768.6591955
406	767.9895044
407	767.3267176
408	766.6526504
409	765.9903378
410	765.328132
411	764.6647794
412	763.9906348
413	763.325896
414	762.6627214
415	762.0082288
416	761.3617004
417	760.709782
418	760.0495796
419	759.4003737
420	758.7524415
421	758.0988495
422	757.4502885
423	756.8004178
424	756.1804386
425	755.5421143
426	754.8997966
427	754.2592511
428	753.6254165
429	752.9997832
430	752.3616503
431	751.7281779
432	751.0844451
433	750.4450476
434	749.8172616
435	749.1797409
436	748.5636464
437	747.9393486
438	747.3133369
439	746.679014
440	746.0617098
441	745.4421034
442	744.8230433
443	744.2144913
444	743.5800683
445	742.9640714
446	742.3369834
447	741.7168145
448	741.1150915
449	740.4951839
450	739.8939414
451	739.2738861
452	738.6632858
453	738.0449997
454	737.4358221
455	736.8543128
456	736.2450965
457	735.6276257
458	735.0136711
459	734.409058
460	733.8022823
461	733.2010686
462	732.5969542
463	731.9990801
464	731.3970916
465	730.8059109
466	730.2112917
467	729.6431033
468	729.0504046
469	728.4482489
470	727.8735699
471	727.288148
472	726.6936467
473	726.1023629
474	725.5314904
475	724.9538275
476	724.3713237
477	723.7930152
478	723.21679
479	722.6272754
480	722.0469363
481	721.4777134
482	720.9028482
483	720.3287379
484	719.7604415
485	719.1964268
486	718.626805
487	718.0671269
488	717.5006261
489	716.9371205
490	716.3788918
491	715.8132582
492	715.2579563
493	714.6876151
494	714.1220353
495	713.5575069
496	713.0018328
497	712.4451302
498	711.9113103
499	711.365851
500	710.7973585
501	710.2498697
502	709.6945423
503	709.136167
504	708.5937047
505	708.0411061
506	707.4876563
507	706.9449286
508	706.3868364
509	705.8476836
510	705.2918905
511	704.7680916
512	704.2421944
513	703.705538
514	703.1661023
515	702.6320301
516	702.0865344
517	701.5378799
518	701.0007007
519	700.4552597
520	699.933711
521	699.4043742
522	698.8681068
523	698.3242411
524	697.7920702
525	697.2628034
526	696.7274647
527	696.1947987
528	695.6773966
529	695.1476772
530	694.6273997
531	694.1091571
532	693.5854933
533	693.0666439
534	692.5373025
535	692.0192924
536	691.5027449
537	690.9942342
538	690.4708783
539	689.9527288
540	689.4467198
541	688.9351872
542	688.4193382
543	687.900721
544	687.3990904
545	686.8855876
546	686.3733999
547	685.8707046
548	685.3590146
549	684.8397537
550	684.3241198
551	683.8206422
552	683.3145694
553	682.8223891
554	682.3299162
555	681.8312225
556	681.3262305
557	680.830415
558	680.3503459
559	679.8511926
560	679.3554489
561	678.8613918
562	678.3664234
563	677.87786
564	677.4087493
565	676.9243719
566	676.4367964
567	675.9491609
568	675.461767
569	674.9780171
570	674.4881354
571	674.0000863
572	673.5143105
573	673.0335147
574	672.537437
575	672.0577536
576	671.5878299
577	671.0968715
578	670.62443
579	670.1425952
580	669.6710832
581	669.1917689
582	668.7088392
583	668.2311432
584	667.7571173
585	667.2924266
586	666.8095014
587	666.3356295
588	665.8639495
589	665.3964575
590	664.9217821
591	664.4482127
592	663.9852537
593	663.5267178
594	663.0614742
595	662.5942987
596	662.1288448
597	661.6697442
598	661.2124757
599	660.7401866
600	660.2873997
601	659.8500574
602	659.4016071
603	658.9425599
604	658.4777852
605	658.0349206
606	657.5740575
607	657.1242671
608	656.6754824
609	656.2269199
610	655.7816631
611	655.3318409
612	654.8882856
613	654.4468889
614	654.0028029
615	653.5651912
616	653.1215854
617	652.6718622
618	652.2310276
619	651.7860279
620	651.3408254
621	650.9030412
622	650.4765873
623	650.0365883
624	649.6158791
625	649.1832251
626	648.7417127
627	648.3118587
628	647.8884168
629	647.4680968
630	647.0280668
631	646.5988434
632	646.1771698
633	645.7458502
634	645.3200544
635	644.8873906
636	644.4654594
637	644.0343901
638	643.5996919
639	643.1808714
640	642.759401
641	642.3288318
642	641.9034779
643	641.4853776
644	641.0653103
645	640.6578522
646	640.2371665
647	639.8244153
648	639.4113963
649	639.0018883
650	638.5997112
651	638.1877129
652	637.7756703
653	637.3780321
654	636.9806459
655	636.5769002
656	636.1742516
657	635.7742083
658	635.3737808
659	634.967892
660	634.5546991
661	634.1473107
662	633.7504069
663	633.3516184
664	632.9608227
665	632.566298
666	632.1601566
667	631.7706066
668	631.3705488
669	630.9745869
670	630.570074
671	630.1684284
672	629.7726554
673	629.3814695
674	628.9855562
675	628.5990949
676	628.2020765
677	627.8023162
678	627.4132153
679	627.0127444
680	626.6195303
681	626.2364887
682	625.8428431
683	625.4657315
684	625.0828855
685	624.6889391
686	624.3083688
687	623.9220555
688	623.5447281
689	623.1622808
690	622.7946553
691	622.4102013
692	622.0362577
693	621.6525091
694	621.275425
695	620.9025784
696	620.5270367
697	620.1551431
698	619.7847298
699	619.4098523
700	619.0422567
701	618.67536
702	618.3052995
703	617.9427887
704	617.5658995
705	617.1989777
706	616.8253468
707	616.4553529
708	616.0989622
709	615.7279505
710	615.3655868
711	614.9865606
712	614.6250617
713	614.26962
714	613.9186097
715	613.5514033
716	613.1912867
717	612.839228
718	612.4685924
719	612.1159423
720	611.7392648
721	611.3821201
722	611.0228877
723	610.6702495
724	610.3196736
725	609.9684207
726	609.6114784
727	609.2560939
728	608.9042515
729	608.5534358
730	608.211041
731	607.8670169
732	607.5107959
733	607.1585201
734	606.8078356
735	606.4650469
736	606.1267916
737	605.7808399
738	605.4362291
739	605.0982253
740	604.755934
741	604.416863
742	604.0742683
743	603.7351679
744	603.3928343
745	603.0597681
746	602.7309721
747	602.3847759
748	602.0538453
749	601.7197096
750	601.3907239
751	601.0487478
752	600.7183358
753	600.3868507
754	600.0501437
755	599.7099894
756	599.3763815
757	599.0434913
758	598.7153037
759	598.3810993
760	598.0534448
761	597.7267039
762	597.3977703
763	597.0860945
764	596.7579958
765	596.427582
766	596.0956196
767	595.7762239
768	595.4517976
769	595.1183425
770	594.7893867
771	594.4648029
