iter	Passed	Remaining
0	4	4120
1	8	4192
2	12	4174
3	16	4177
4	20	4105
5	23	3956
6	27	3936
7	31	3897
8	35	3882
9	39	3893
10	43	3897
11	47	3905
12	51	3910
13	55	3875
14	59	3876
15	63	3893
16	67	3876
17	71	3894
18	75	3892
19	79	3898
20	83	3893
21	88	3927
22	92	3928
23	96	3917
24	100	3916
25	104	3915
26	108	3922
27	112	3915
28	117	3917
29	120	3904
30	123	3874
31	128	3885
32	132	3879
33	136	3873
34	139	3853
35	143	3845
36	147	3845
37	151	3833
38	155	3827
39	159	3819
40	162	3801
41	166	3792
42	170	3795
43	174	3796
44	178	3790
45	182	3784
46	186	3779
47	190	3770
48	194	3771
49	197	3759
50	202	3766
51	206	3763
52	210	3758
53	213	3747
54	218	3749
55	222	3751
56	227	3756
57	231	3759
58	235	3756
59	239	3755
60	243	3754
61	247	3751
62	252	3750
63	255	3741
64	259	3739
65	263	3732
66	267	3730
67	271	3724
68	275	3720
69	279	3716
70	284	3718
71	287	3704
72	291	3701
73	295	3702
74	299	3699
75	303	3686
76	307	3683
77	311	3678
78	315	3672
79	320	3683
80	323	3669
81	326	3659
82	330	3651
83	334	3646
84	338	3643
85	342	3640
86	346	3633
87	350	3630
88	354	3626
89	357	3618
90	361	3607
91	365	3606
92	369	3602
93	372	3592
94	376	3589
95	380	3587
96	385	3584
97	389	3580
98	392	3575
99	396	3571
100	400	3565
101	404	3563
102	408	3557
103	412	3553
104	416	3551
105	420	3549
106	424	3546
107	428	3540
108	433	3539
109	437	3536
110	440	3530
111	444	3528
112	448	3519
113	452	3514
114	456	3510
115	459	3501
116	462	3492
117	466	3488
118	470	3485
119	475	3483
120	479	3481
121	482	3473
122	486	3465
123	489	3457
124	493	3452
125	497	3448
126	501	3447
127	505	3445
128	509	3442
129	516	3453
130	519	3449
131	524	3447
132	528	3444
133	532	3440
134	536	3440
135	541	3438
136	545	3434
137	549	3429
138	553	3426
139	556	3421
140	560	3416
141	564	3413
142	568	3408
143	572	3404
144	577	3402
145	581	3398
146	584	3390
147	588	3386
148	592	3383
149	596	3380
150	600	3376
151	604	3373
152	608	3370
153	612	3365
154	616	3362
155	620	3359
156	625	3356
157	629	3352
158	633	3348
159	637	3344
160	641	3342
161	644	3334
162	649	3333
163	652	3325
164	656	3321
165	660	3320
166	665	3317
167	669	3313
168	673	3311
169	677	3306
170	681	3302
171	684	3297
172	688	3293
173	692	3289
174	697	3286
175	701	3282
176	705	3279
177	709	3275
178	713	3272
179	717	3268
180	721	3264
181	725	3260
182	729	3254
183	733	3251
184	737	3248
185	741	3244
186	745	3241
187	749	3236
188	753	3231
189	757	3228
190	761	3224
191	764	3217
192	768	3212
193	772	3208
194	776	3203
195	780	3199
196	784	3196
197	788	3192
